여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_004899,속초엑스포유람선,체험,기타레저,강원,강원도 속초시 엑스포로 12-26(조양동),128.5916306,38.19213942
TRAVEL_004900,속초항 (공공기관이 추천하는 여름철 선박 해양 시설),관광지,기타관광지,강원,강원 속초시 동명동 383-2,128.593919,38.208767
TRAVEL_004901,속초해수욕장,체험,기타레저,강원,강원도 속초시 해오름로 190(조양동),128.6019936,38.19057591
TRAVEL_004902,솔뫼성지,관광지,기타관광지,충남,충청남도 당진시 우강면 솔뫼로 132,126.7859286,36.81995392
TRAVEL_004903,송계 어촌체험마을,관광지,어촌체험마을,전남,전라남도 무안군 해제면 만송로 916,126.3397476,35.15288122
TRAVEL_004904,송광사(순천),관광지,문화유적,전남,전라남도 순천시 송광면 송광사안길 100(송광면),127.275563,35.00219727
TRAVEL_004905,송교리 횟타운,음식점,기타,경기,경기도 화성시 서신면 송교큰말길87번길 15(서신면),126.6219728,37.17148821
TRAVEL_004906,송대말 등대,관광지,기타관광지,경북,경상북도 경주시 감포읍 감포로 226-19,129.5114174,35.80729981
TRAVEL_004907,송도 구름산책로(스카이워크),관광지,기타관광지,부산,부산 서구 암남동 129-4,129.02229,35.075339
TRAVEL_004908,송도공원,음식점,기타,부산,부산광역시 서구 암남공원로 75,129.0182143,35.07053997
TRAVEL_004909,송도비치 관광호텔,숙박,호텔,부산,부산광역시 서구 암남공원로 9,129.0155867,35.07464224
TRAVEL_004910,송도컨벤시아,관광지,기타관광지,인천,인천광역시 연수구 센트럴로 123(송도동),126.6461952,37.38903563
TRAVEL_004911,송악리조트,숙박,리조트/콘도,제주,제주특별자치도 서귀포시 대정읍 형제해안로 260,126.2918636,33.21141968
TRAVEL_004912,송악산,관광지,기타관광지,제주,제주특별자치도 서귀포시 대정읍 상모리 산 2,126.290612,33.199438
TRAVEL_004913,송월동 동화마을,관광지,기타관광지,인천,인천광역시 중구 동화마을길 38(송월동3가) 일대,126.6197312,37.47834423
TRAVEL_004914,송이밸리자연휴양림,관광지,기타관광지,강원,강원도 양양군 손양면 상왕도리 산158-3,128.6220295,38.05228127
TRAVEL_004915,송이버섯마을,음식점,기타,강원,강원도 양양군 양양읍 안산1길 74-52,128.625473,38.07016537
TRAVEL_004916,송재 서재필선생 생가와 기념공원,관광지,공원,전남,전라남도 보성군 문덕면 용암길 8(문덕면),127.1943963,34.95794809
TRAVEL_004917,송정 솔바람해변,관광지,기타관광지,경남,경상남도 남해군 미조면 미송로483번길 4-69(미조면),128.0243657,34.72139729
TRAVEL_004918,송정 죽도공원,관광지,공원,부산,부산광역시 해운대구 송정동288-60,129.2054534,35.17975065
TRAVEL_004919,송정해변(송정해수욕장),체험,기타레저,강원,강원도 강릉시 창해로 118(송정동),128.9371205,37.7800773
TRAVEL_004920,송정해수욕장,체험,기타레저,부산,부산광역시 해운대구 송정해변로 62(송정동),129.1996401,35.17871177
TRAVEL_004921,송정해수욕장(낚시터),체험,기타레저,부산,"부산광역시 해운대구  송정해변로 62 (송정동, 송정관광안내소)",129.199532,35.179443
TRAVEL_004922,송정호텔,숙박,호텔,부산,부산광역시 해운대구 송정해변로 28,129.2030397,35.18110601
TRAVEL_004923,송지호 오토캠핑장(송지호오토캠핑장해수욕장),숙박,기타숙박,강원,강원도 고성군 죽왕면 동해대로 6090(죽왕면),128.5133247,38.3428009
TRAVEL_004924,송지호 해수욕장,체험,기타레저,강원,강원도 고성군 죽왕면 심층수길 85(죽왕면),128.5265072,38.33150803
TRAVEL_004925,송지호 해안 서낭바위 (강원평화지역 국가지질공원),관광지,기타관광지,강원,강원도 고성군 죽왕면 동해대로 6021(죽왕면) 일대,128.5124916,38.3369099
TRAVEL_004926,송지호관망타워,관광지,전망대/조망시설,강원,강원도 고성군 죽왕면 동해대로 6021(죽왕면),128.5173718,38.33599066
TRAVEL_004927,쇠머리오름(우도봉),관광지,기타관광지,제주,제주특별자치도 제주시 우도면 연평리 산 17,126.963424,33.492905
TRAVEL_004928,수궁횟집,음식점,기타,전남,전라남도 순천시 남신월길 33,127.5204593,34.95619832
TRAVEL_004929,수로부인 헌화공원 (남화산 해맞이공원),관광지,공원,강원,강원도 삼척시 원덕읍 임원항구로 33-17,129.3501782,37.23383444
TRAVEL_004930,수리조선소길,관광지,기타관광지,부산,부산광역시 영도구 대평로 42(대평동2가),129.0334902,35.09237948
TRAVEL_004931,수민이네,음식점,기타,부산,부산광역시 해운대구 청사포로58번길 118,129.1909969,35.16062753
TRAVEL_004932,수산물페스티벌,관광지,축제/행사,경북,경상북도 포항시 남구 희망대로 1308(송도동),129.3787194,36.04620086
TRAVEL_004933,수산어촌체험마을,관광지,어촌체험마을,강원,강원도 양양군 손양면 수산1길 26-41,128.674035,38.08076786
TRAVEL_004934,수산항 낚시터,체험,기타레저,강원,강원도 양양군 손양면 수산1길 20-24,128.6748128,38.07689333
TRAVEL_004935,수상한마법학교,관광지,전시관,강원,강원도 강릉시 사천면 미노길 103모래내행복센터 2층,128.8485604,37.82657575
